time	qty
0	905
10	1660
20	1804
30	1892
40	1950
50	2026
60	2060
70	2095
80	2125
90	2142
100	2150
110	2156
120	2161
130	2162
140	2173
150	2193
160	2212
170	2234
180	2245
190	2253
200	2255
210	2256
220	2256
230	2256
240	2265
250	2277
260	2287
270	2294
280	2304
290	2304
300	2305
310	2305
320	2305
330	2305
340	2305
350	2306
360	2307
370	2307
380	2307
390	2307
400	2307
410	2307
420	2307
430	2307
440	2307
450	2307
460	2307
470	2307
480	2307
490	2307
500	2307
510	2307
520	2308
530	2310
540	2310
550	2310
560	2310
570	2310
580	2312
590	2312
600	2312
610	2312
620	2312
630	2312
640	2312
650	2312
660	2312
670	2312
680	2312
690	2312
700	2312
710	2312
720	2312
730	2312
740	2312
750	2312
760	2312
770	2312
780	2312
790	2312
800	2312
810	2312
820	2312
830	2312
840	2312
850	2312
860	2312
870	2312
880	2312
890	2312
900	2312
910	2312
920	2312
930	2312
940	2312
950	2312
960	2312
970	2313
